ncbi_name	myco_name	has_ascomycota	has_basidiomycota	has_glomeromycotina	has_mucoromycotina
Arachis_hypogaea_var._peruviana	Arachis_hypogaea	0	0	1	0
Arachis_hypogaea_var._vulgaris	Arachis_hypogaea	0	0	1	0
Araucaria_angustifolia	Araucaria_angustifolia	0	0	1	0
Arbutus_unedo	Arbutus_unedo	1	1	0	0
Arctostaphylos_uva-ursi	Arctostaphylos_uva_ursi	1	1	0	0
Aristida_adscensionis	Aristida_adscensionis	0	0	1	0
Arnica_montana	Arnica_montana	0	0	1	0
Arrhenatherum_elatius	Arrhenatherum_elatius	0	0	1	0
Artemisia_frigida	Artemisia_frigida	0	0	1	0
Artemisia_ludoviciana	Artemisia_ludoviciana	0	0	1	0
Artemisia_vulgaris	Artemisia_vulgaris	0	0	1	0
Arthrocnemum_macrostachyum	Arthrocnemum_macrostachyum	0	0	1	0
Arum_italicum	Arum_italicum	0	0	1	0
Arum_maculatum	Arum_maculatum	0	0	1	0
Arundina_graminifolia	Arundina_graminifolia	0	1	0	0
Asparagus_officinalis	Asparagus_officinalis	0	0	1	0
Tripolium_pannonicum	Aster_tripolium	0	0	1	0
Austrobaileya_scandens	Austrobaileya_scandens	0	0	1	0
Austrocedrus_chilensis	Austrocedrus_chilensis	0	0	1	0
Avena_barbata	Avena_barbata	0	0	1	0
Avicennia_officinalis	Avicennia_officinalis	0	0	1	0
Betula_alleghaniensis	Betula_alleghaniensis	1	1	0	0
Betula_papyrifera	Betula_papyrifera	1	1	0	0
Betula_pendula	Betula_pendula	1	1	0	0
Betula_platyphylla	Betula_platyphylla	1	1	0	0
Betula_pubescens	Betula_pubescens	1	1	0	0
Bistorta_vivipara	Bistorta_vivipara	1	1	1	0
Boscia_foetida_subsp._filipes	Boscia_foetida	0	0	1	0
Bouteloua_gracilis	Bouteloua_gracilis	0	0	1	0
Brachypodium_pinnatum	Brachypodium_pinnatum	0	0	1	0
Brassica_napus	Brassica_napus	0	0	1	0
Briza_media	Briza_media	0	0	1	0
Brodiaea_coronaria	Brodiaea_coronaria	0	0	1	0
Bromus_erectus	Bromus_erectus	0	0	1	0
Bromus_tectorum	Bromus_tectorum	0	0	1	0
Burmannia_capitata	Burmannia_capitata	0	0	1	0
Cajanus_cajan	Cajanus_cajan	0	0	1	0
Calamagrostis_arundinacea	Calamagrostis_arundinacea	0	0	1	0
Callicarpa_americana	Callicarpa_americana	0	0	1	0
Calluna_vulgaris	Calluna_vulgaris	1	1	1	0
Caltha_palustris	Caltha_palustris	0	0	1	0
Camellia_japonica	Camellia_japonica	0	0	1	0
Campanula_punctata	Campanula_punctata	0	0	1	0
Caragana_korshinskii	Caragana_korshinskii	0	0	1	0
Cardamine_pratensis	Cardamine_pratensis	0	0	1	0
Carduus_tenuiflorus	Carduus_tenuiflorus	0	0	1	0
Carya_illinoinensis	Carya_illinoinensis	1	1	0	0
Castanea_dentata	Castanea_dentata	1	1	0	0
Castanea_mollissima	Castanea_mollissima	1	1	0	0
Castanea_sativa	Castanea_sativa	0	1	0	0
Castanopsis_fargesii	Castanopsis_fargesii	1	1	0	0
Casuarina_equisetifolia	Casuarina_equisetifolia	1	1	1	0
Cecropia_obtusa	Cecropia_obtusa	0	0	1	0
Cedrela_odorata	Cedrela_odorata	0	0	1	0
Cedrus_atlantica	Cedrus_atlantica	0	1	0	0
Cedrus_deodara	Cedrus_deodara	1	1	0	0
Cenchrus_ciliaris	Cenchrus_ciliaris	0	0	1	0
Centaurea_jacea	Centaurea_jacea	0	0	1	0
Cephalanthera_damasonium	Cephalanthera_damasonium	1	1	0	0
Cephalanthera_erecta	Cephalanthera_erecta	0	1	0	0
Cephalanthera_falcata	Cephalanthera_falcata	0	1	0	0
Cephalanthera_longibracteata	Cephalanthera_longibracteata	0	1	0	0
Cephalanthera_longifolia	Cephalanthera_longifolia	1	1	1	0
Cephalanthera_rubra	Cephalanthera_rubra	1	1	0	0
Cercocarpus_ledifolius	Cercocarpus_ledifolius	1	1	0	0
Chamaecyparis_obtusa	Chamaecyparis_obtusa	0	0	1	0
Chamerion_angustifolium	Chamerion_angustifolium	0	0	1	0
Chimaphila_umbellata	Chimaphila_umbellata	1	1	0	0
Cinchona_officinalis	Cinchona_officinalis	0	0	1	0
Cinnamomum_bejolghota	Cinnamomum_bejolghota	0	1	0	0
Citrullus_colocynthis	Citrullus_colocynthis	0	0	1	0
Citrus_maxima	Citrus_maxima	0	1	1	0
Clematis_vitalba	Clematis_vitalba	0	0	1	0
Clintonia_borealis	Clintonia_borealis	0	0	1	0
Cneorum_tricoccon	Cneorum_tricoccon	0	0	1	0
Coffea_arabica	Coffea_arabica	0	0	1	0
Comarostaphylis_arbutoides	Comarostaphylis_arbutoides	1	1	0	0
Commelina_benghalensis	Commelina_benghalensis	0	0	1	0
Convallaria_majalis	Convallaria_majalis	0	0	1	0
Conyza_canadensis	Conyza_canadensis	0	0	1	0
Corallorhiza_trifida	Corallorhiza_trifida	0	1	0	0
Cornus_suecica	Cornus_suecica	0	0	1	0
Corylus_avellana	Corylus_avellana	1	1	0	0
Corylus_colurna	Corylus_colurna	0	1	0	0
Crataegus_monogyna	Crataegus_monogyna	0	0	1	0
Cremastra_appendiculata	Cremastra_appendiculata	0	1	0	0
Cymbidium_ensifolium	Cymbidium_ensifolium	0	1	0	0
Cymbidium_floribundum	Cymbidium_floribundum	0	1	0	0
Cymbidium_goeringii	Cymbidium_goeringii	0	1	0	0
Cymbidium_lancifolium	Cymbidium_lancifolium	0	1	0	0
Cymbidium_macrorhizon	Cymbidium_macrorhizon	0	1	0	0
Cymbidium_sinense	Cymbidium_sinense	0	1	0	0
Cymbopogon_nardus	Cymbopogon_nardus	0	0	1	0
Cynara_cardunculus	Cynara_cardunculus	0	0	1	0
Cynosurus_cristatus	Cynosurus_cristatus	0	0	1	0
Cynosurus_echinatus	Cynosurus_echinatus	0	0	1	0
Cypripedium_acaule	Cypripedium_acaule	0	1	0	0
Cypripedium_arietinum	Cypripedium_arietinum	0	1	0	0
Cypripedium_calceolus	Cypripedium_calceolus	0	1	0	0
Cypripedium_californicum	Cypripedium_californicum	0	1	1	0
Cypripedium_candidum	Cypripedium_candidum	0	1	0	0
Cypripedium_debile	Cypripedium_debile	0	1	0	0
Cypripedium_fasciculatum	Cypripedium_fasciculatum	0	1	0	0
Cypripedium_flavum	Cypripedium_flavum	0	1	0	0
Cypripedium_formosanum	Cypripedium_formosanum	0	1	0	0
Cypripedium_guttatum	Cypripedium_guttatum	0	1	0	0
Cypripedium_japonicum	Cypripedium_japonicum	0	1	0	0
Cypripedium_montanum	Cypripedium_montanum	0	1	0	0
Cypripedium_parviflorum	Cypripedium_parviflorum	0	1	1	0
Cypripedium_reginae	Cypripedium_reginae	0	1	0	0
Cypripedium_tibeticum	Cypripedium_tibeticum	0	1	0	0
Dacrycarpus_dacrydioides	Dacrycarpus_dacrydioides	0	0	1	0
Dactylis_glomerata	Dactylis_glomerata	0	0	1	0
Daucus_carota	Daucus_carota	0	0	1	0
Delonix_regia	Delonix_regia	0	0	1	0
Dendrobium_catenatum	Dendrobium_catenatum	0	1	0	0
Dendrobium_chrysanthum	Dendrobium_chrysanthum	0	1	0	0
Dendrobium_crumenatum	Dendrobium_crumenatum	0	1	0	0
Dendrobium_fimbriatum	Dendrobium_fimbriatum	0	1	0	0
Dendrobium_nobile	Dendrobium_nobile	0	1	0	0
Dichrostachys_cinerea	Dichrostachys_cinerea	0	0	1	0
Dicorynia_guianensis	Dicorynia_guianensis	0	0	1	0
Dimocarpus_longan	Dimocarpus_longan	0	1	1	0
Dioscorea_cayennensis_subsp._rotundata	Dioscorea_rotundata	0	0	1	0
Dipterocarpus_tuberculatus	Dipterocarpus_tuberculatus	0	1	0	0
Disa_bracteata	Disa_bracteata	0	1	0	0
Disperis_capensis	Disperis_capensis	0	1	0	0
Dodonaea_viscosa_subsp._angustifolia	Dodonaea_viscosa	0	0	1	0
Dryas_integrifolia	Dryas_integrifolia	1	1	0	0
Dryas_octopetala	Dryas_octopetala	1	1	0	0
Dysphania_ambrosioides	Dysphania_ambrosioides	0	0	1	0
Empetrum_nigrum	Empetrum_nigrum	1	1	0	0
Enkianthus_campanulatus	Enkianthus_campanulatus	0	0	1	0
Enkianthus_cernuus	Enkianthus_cernuus	0	0	1	0
Enkianthus_nudipes	Enkianthus_nudipes	0	0	1	0
Enkianthus_perulatus	Enkianthus_perulatus	0	0	1	0
Enkianthus_sikokianus	Enkianthus_sikokianus	0	0	1	0
Enkianthus_subsessilis	Enkianthus_subsessilis	0	0	1	0
Eperua_falcata	Eperua_falcata	0	0	1	0
Eperua_grandiflora	Eperua_grandiflora	0	0	1	0
Ephedra_fragilis	Ephedra_fragilis	0	0	1	0
Epidendrum_rhopalostele	Epidendrum_rhopalostele	0	1	0	0
Epilobium_ciliatum	Epilobium_ciliatum	0	0	1	0
Epipactis_albensis_var._fibri	Epipactis_albensis	1	1	0	0
Epipactis_atrorubens	Epipactis_atrorubens	1	1	0	0
Epipactis_dunensis	Epipactis_dunensis	1	1	0	0
Epipactis_helleborine	Epipactis_helleborine	1	1	0	0
Epipactis_palustris	Epipactis_palustris	1	1	0	0
Epipactis_purpurata	Epipactis_purpurata	1	1	0	0
Erica_carnea	Erica_carnea	1	0	0	0
Erica_ciliaris	Erica_ciliaris	0	1	0	0
Erica_cinerea	Erica_cinerea	1	1	0	0
Erica_vagans	Erica_vagans	0	1	0	0
Eriochilus_cucullatus	Eriochilus_cucullatus	0	1	0	0
Erythranthe_guttata	Erythranthe_guttata	0	0	1	0
Eucalyptus_camaldulensis	Eucalyptus_camaldulensis	0	1	0	0
Eucalyptus_globulus_subsp._maidenii	Eucalyptus_globulus	0	1	0	0
Eucalyptus_globulus_subsp._bicostata	Eucalyptus_globulus	0	1	0	0
Eucalyptus_globulus_subsp._globulus	Eucalyptus_globulus	0	1	0	0
Eucalyptus_gunnii	Eucalyptus_gunnii	1	1	0	0
Eucalyptus_marginata_subsp._marginata	Eucalyptus_marginata	0	1	0	0
Eucalyptus_nitens	Eucalyptus_nitens	1	1	0	0
Excoecaria_agallocha	Excoecaria_agallocha	0	0	1	0
Fagopyrum_esculentum	Fagopyrum_esculentum	0	0	1	0
Fagopyrum_tataricum_subsp._potanini	Fagopyrum_tataricum	0	0	1	0
Fagus_grandifolia_var._caroliniana	Fagus_grandifolia	0	1	0	0
Fagus_grandifolia_subsp._mexicana	Fagus_grandifolia	0	1	0	0
Fagus_sylvatica_subsp._orientalis	Fagus_sylvatica	1	1	0	0
Fagus_sylvatica_var._atropunicea	Fagus_sylvatica	1	1	0	0
Faramea_occidentalis	Faramea_occidentalis	0	0	1	0
Festuca_idahoensis	Festuca_idahoensis	0	0	1	0
Festuca_ovina_var._ovina	Festuca_ovina	0	0	1	0
Festuca_ovina_var._brevifolia	Festuca_ovina	0	0	1	0
Festuca_pratensis_subsp._apennina	Festuca_pratensis	0	0	1	0
Festuca_pratensis_subsp._pratensis	Festuca_pratensis	0	0	1	0
Festuca_rubra_subsp._pruinosa	Festuca_rubra	0	0	1	0
Festuca_rubra_subsp._commutata	Festuca_rubra	0	0	1	0
Festuca_rubra_subsp._fallax	Festuca_rubra	0	0	1	0
Festuca_rubra_subsp._littoralis	Festuca_rubra	0	0	1	0
Festuca_rubra_subsp._rubra	Festuca_rubra	0	0	1	0
Festuca_rubra_subsp._arctica	Festuca_rubra	0	0	1	0
Festuca_rubra_subsp._juncea	Festuca_rubra	0	0	1	0
Festuca_rupicola	Festuca_rupicola	0	0	1	0
Fragaria_vesca	Fragaria_vesca	0	0	1	0
Fraxinus_excelsior	Fraxinus_excelsior	0	0	1	0
Galium_album	Galium_album	0	0	1	0
Galium_aparine	Galium_aparine	0	0	1	0
Gaultheria_procumbens	Gaultheria_procumbens	0	1	0	0
Gaultheria_shallon	Gaultheria_shallon	1	1	0	0
Genista_cinerea	Genista_cinerea	0	0	1	0
Geranium_pratense	Geranium_pratense	0	0	1	0
Geum_rivale	Geum_rivale	0	0	1	0
Ginkgo_biloba	Ginkgo_biloba	0	0	1	0
Glechoma_hederacea	Glechoma_hederacea	0	0	1	0
Gliricidia_sepium	Gliricidia_sepium	0	0	1	0
Glycine_max	Glycine_max	0	0	1	0
Gnetum_gnemon	Gnetum_gnemon	0	1	0	0
Goodyera_foliosa	Goodyera_foliosa	1	1	0	0
Goodyera_oblongifolia	Goodyera_oblongifolia	0	1	0	0
Goodyera_procera	Goodyera_procera	1	1	0	0
Goodyera_pubescens	Goodyera_pubescens	0	1	0	0
Goodyera_repens	Goodyera_repens	0	1	0	0
Goodyera_schlechtendaliana	Goodyera_schlechtendaliana	0	1	0	0
Goodyera_velutina	Goodyera_velutina	1	1	0	0
Guapira_discolor	Guapira_discolor	0	1	0	0
Guapira_fragrans	Guapira_fragrans	0	1	0	0
Guarea_pterorhachis	Guarea_pterorhachis	0	0	1	0
Gymnadenia_conopsea_subsp._conopsea	Gymnadenia_conopsea	1	1	0	0
Gynostemma_pentaphyllum	Gynostemma_pentaphyllum	0	0	1	0
Handroanthus_ochraceus	Handroanthus_ochraceus	0	0	1	0
Hedera_rhombea	Hedera_rhombea	0	0	1	0
Hedyosmum_goudotianum	Hedyosmum_goudotianum	0	0	1	0
Helianthemum_squamatum	Helianthemum_squamatum	0	0	1	0
Helianthus_annuus	Helianthus_annuus	0	0	1	0
Helichrysum_stoechas	Helichrysum_stoechas	0	0	1	0
Heteropogon_contortus	Heteropogon_contortus	0	0	1	0
Heterotheca_villosa	Heterotheca_villosa	0	0	1	0
Hexalectris_revoluta	Hexalectris_revoluta	0	1	0	0
Hieronyma_oblonga	Hieronyma_oblonga	0	0	1	0
Holcus_lanatus	Holcus_lanatus	0	0	1	0
Hopea_odorata	Hopea_odorata	0	1	0	0
Hordeum_vulgare	Hordeum_vulgare	0	0	1	0
Hyacinthoides_non-scripta	Hyacinthoides_non_scripta	0	0	1	0
Gabonius_ngouniensis	Hymenostegia_ngouniensis	0	0	1	0
Hypericum_maculatum	Hypericum_maculatum	0	0	1	0
Hypochaeris_radicata	Hypochaeris_radicata	0	0	1	0
Inga_acreana	Inga_acreana	0	0	1	0
Inga_edulis	Inga_edulis	0	0	1	0
Intsia_bijuga	Intsia_bijuga	0	1	0	0
Inula_conyza	Inula_conyza	0	0	1	0
Ionopsis_utricularioides	Ionopsis_utricularioides	0	1	0	0
Ipomoea_pes-caprae_subsp._brasiliensis	Ipomoea_pes_caprae	0	0	1	0
Ipomoea_pes-caprae_subsp._pes-caprae	Ipomoea_pes_caprae	0	0	1	0
Jacobaea_vulgaris	Jacobaea_vulgaris	0	0	1	0
Japonolirion_osense	Japonolirion_osense	0	0	1	0
Juglans_regia	Juglans_regia	0	1	1	0
Juncus_bulbosus	Juncus_bulbosus	0	0	1	0
Kandelia_candel	Kandelia_candel	0	0	1	0
Keteleeria_davidiana	Keteleeria_davidiana	1	1	0	0
Knautia_arvensis	Knautia_arvensis	0	0	1	0
Kobresia_myosuroides	Kobresia_myosuroides	1	1	0	0
Kummerowia_striata	Kummerowia_striata	0	0	1	0
Larix_decidua	Larix_decidua	1	1	0	0
Larix_gmelinii	Larix_gmelinii	1	1	0	0
Larix_kaempferi	Larix_kaempferi	1	1	0	0
Lavandula_latifolia	Lavandula_latifolia	0	0	1	0
Leontodon_hispidus	Leontodon_hispidus	0	0	1	0
Leymus_mollis	Leymus_mollis	0	0	1	0
Ligularia_virgaurea	Ligularia_virgaurea	0	0	1	0
Ligustrum_vulgare	Ligustrum_vulgare	0	0	1	0
Limodorum_abortivum_f._brulloi	Limodorum_abortivum	1	1	0	0
Linnaea_borealis	Linnaea_borealis	0	0	1	0
Liparis_kumokiri	Liparis_kumokiri	0	1	0	0
Liparis_liliifolia	Liparis_liliifolia	0	1	0	0
Liparis_loeselii	Liparis_loeselii	0	1	0	0
Neottia_cordata	Listera_cordata	0	1	0	0
Neottia_ovata	Listera_ovata	0	1	0	0
Litsea_cubeba	Litsea_cubeba	0	0	1	0
Littorella_uniflora	Littorella_uniflora	0	0	1	0
Lolium_multiflorum	Lolium_multiflorum	0	0	1	0
Lolium_perenne	Lolium_perenne	0	0	1	0
Lophozonia_cunninghamii	Lophozonia_cunninghamii	1	1	0	0
Lophozonia_menziesii	Lophozonia_menziesii	1	1	0	0
Lotus_brunneri	Lotus_brunneri	0	0	1	0
Lotus_corniculatus	Lotus_corniculatus	0	0	1	0
Lotus_jacobaeus	Lotus_jacobaeus	0	0	1	0
Lotus_japonicus	Lotus_japonicus	0	0	1	0
Luehea_seemannii	Luehea_seemannii	0	0	1	0
Lupinus_latifolius	Lupinus_latifolius	0	0	0	0
Luronium_natans	Luronium_natans	0	0	1	0
Lycium_barbarum	Lycium_barbarum	0	0	1	0
Maianthemum_bifolium	Maianthemum_bifolium	0	0	1	0
Maianthemum_racemosum	Maianthemum_racemosum	0	0	1	0
Malus_hupehensis	Malus_hupehensis	0	0	1	0
Malus_micromalus	Malus_micromalus	0	0	1	0
Malus_sieboldii	Malus_sieboldii	0	0	1	0
Mangifera_indica	Mangifera_indica	0	1	1	0
Medicago_murex	Medicago_murex	0	0	1	0
Medicago_polymorpha	Medicago_polymorpha	0	0	1	0
Medicago_truncatula	Medicago_truncatula	0	0	1	0
Megathyrsus_maximus	Megathyrsus_maximus	0	0	1	0
Melilotus_albus	Melilotus_albus	0	0	1	0
Melinis_repens	Melinis_repens	0	0	1	0
Mercurialis_perennis	Mercurialis_perennis	0	0	1	0
Miscanthus_sinensis	Miscanthus_sinensis	0	0	1	0
Montinia_caryophyllacea	Montinia_caryophyllacea	0	0	1	0
Moringa_drouhardii	Moringa_drouhardii	0	0	1	0
Moringa_hildebrandtii	Moringa_hildebrandtii	0	0	1	0
Moringa_oleifera	Moringa_oleifera	0	0	1	0
Musa_acuminata_AAA_Group	Musa_acuminata	0	0	1	0
Musa_acuminata_AAAA_Group	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._burmannica	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._burmannicoides	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._errans	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._malaccensis	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._microcarpa	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._siamea	Musa_acuminata	0	0	1	0
Musa_acuminata_subsp._truncata	Musa_acuminata	0	0	1	0
Musa_acuminata_var._alasensis	Musa_acuminata	0	0	1	0
Musa_acuminata_var._flava	Musa_acuminata	0	0	1	0
Musa_acuminata_var._nakaii	Musa_acuminata	0	0	1	0
Musa_acuminata_var._rutilipes	Musa_acuminata	0	0	1	0
Musa_acuminata_var._zebrina	Musa_acuminata	0	0	1	0
Musa_balbisiana_var._balbisiana	Musa_acuminata	0	0	1	0
Neottia_nidus-avis	Neottia_nidus_avis	1	1	0	0
Nervilia_nipponica	Nervilia_nipponica	0	1	0	0
Neuwiedia_veratrifolia	Neuwiedia_veratrifolia	0	1	0	0
Noccaea_caerulescens	Noccaea_caerulescens	0	0	1	0
Nymphaea_alba	Nymphaea_alba	0	0	0	0
Olea_europaea	Olea_europaea	0	0	1	0
Oloptum_miliaceum	Oloptum_miliaceum	0	0	1	0
Ononis_repens	Ononis_repens	0	0	1	0
Ophrys_fuciflora	Ophrys_fuciflora	0	1	0	0
Ophrys_insectifera	Ophrys_insectifera	0	1	0	0
Orchis_anthropophora	Orchis_anthropophora	0	1	0	0
Orchis_mascula	Orchis_mascula	0	1	0	0
Orchis_militaris	Orchis_militaris	0	1	0	0
Orchis_purpurea	Orchis_purpurea	0	1	0	0
Orchis_simia	Orchis_simia	0	1	0	0
Origanum_vulgare	Origanum_vulgare	0	0	1	0
Orixa_japonica	Orixa_japonica	0	0	1	0
Orthilia_secunda	Orthilia_secunda	1	1	0	0
Oryza_sativa	Oryza_sativa	0	0	1	0
Ostrya_carpinifolia	Ostrya_carpinifolia	1	1	0	0
Oxalis_acetosella_subsp._japonica	Oxalis_acetosella	0	0	1	0
Oxalis_stricta	Oxalis_stricta	0	0	1	0
Panax_ginseng	Panax_ginseng	0	0	1	0
Panax_japonicus	Panax_japonicus	0	0	1	0
Panicum_virgatum	Panicum_virgatum	0	0	1	0
Paphiopedilum_armeniacum	Paphiopedilum_armeniacum	0	1	0	0
Paphiopedilum_dianthum	Paphiopedilum_dianthum	0	1	0	0
Paris_incompleta	Paris_incompleta	0	0	1	0
Paris_quadrifolia	Paris_quadrifolia	0	0	1	0
Paspalum_distichum	Paspalum_distichum	0	0	1	0
Perilla_frutescens	Perilla_frutescens	0	0	1	0
Phaius_tancarvilleae	Phaius_tancarvilleae	0	1	0	0
Phalaris_arundinacea	Phalaris_arundinacea	0	0	1	0
Phaseolus_vulgaris	Phaseolus_vulgaris	0	0	1	0
Phellodendron_amurense	Phellodendron_amurense	0	0	1	0
Phoenix_dactylifera	Phoenix_dactylifera	0	0	1	0
Phragmites_australis	Phragmites_australis	0	0	1	0
Phyllanthus_calycinus	Phyllanthus_calycinus	0	1	1	0
Phytolacca_americana	Phytolacca_americana	0	0	1	0
Picea_abies	Picea_abies	1	1	0	0
Picea_crassifolia	Picea_crassifolia	1	1	0	0
Picea_glauca	Picea_glauca	1	1	0	0
Picea_jezoensis	Picea_jezoensis	0	1	0	0
Picea_mariana	Picea_mariana	1	1	0	0
Picea_rubens	Picea_rubens	1	0	0	0
Picea_sitchensis	Picea_sitchensis	0	1	0	0
Picea_smithiana	Picea_smithiana	0	1	0	0
Pilea_pumila	Pilea_pumila	0	0	1	0
Pilosella_officinarum	Pilosella_officinarum	0	0	1	0
Pinus_albicaulis	Pinus_albicaulis	1	1	0	0
Pinus_banksiana	Pinus_banksiana	1	1	0	0
Pinus_canariensis	Pinus_canariensis	0	1	0	0
Pinus_caribaea	Pinus_caribaea	1	1	0	0
Pinus_cembra	Pinus_cembra	1	1	0	0
Pinus_densiflora	Pinus_densiflora	1	1	0	0
Pinus_edulis	Pinus_edulis	1	1	0	0
Pinus_elliottii	Pinus_elliottii	1	1	0	0
Pinus_halepensis	Pinus_halepensis	0	1	0	0
Pinus_jeffreyi	Pinus_jeffreyi	0	1	0	0
Pinus_kesiya	Pinus_kesiya	1	1	0	0
Pinus_koraiensis	Pinus_koraiensis	1	1	0	0
Pinus_lambertiana	Pinus_lambertiana	1	1	0	0
Pinus_longaeva	Pinus_longaeva	1	1	0	0
Pinus_massoniana	Pinus_massoniana	1	1	0	0
Pinus_montezumae	Pinus_montezumae	1	1	0	0
Pinus_mugo	Pinus_mugo	1	1	0	0
Pinus_muricata	Pinus_muricata	1	1	0	0
Pinus_nigra	Pinus_nigra	1	1	0	0
Pinus_parviflora	Pinus_parviflora	0	1	0	0
Pinus_patula	Pinus_patula	1	1	0	0
Pinus_pinaster	Pinus_pinaster	1	1	0	0
Pinus_pinea	Pinus_pinea	1	1	0	0
Pinus_ponderosa	Pinus_ponderosa	1	1	0	0
Pinus_pumila	Pinus_pumila	0	1	0	0
Pinus_radiata	Pinus_radiata	1	1	0	0
Pinus_roxburghii	Pinus_roxburghii	0	1	0	0
Pinus_sabiniana	Pinus_sabiniana	1	1	0	0
Pinus_strobus	Pinus_strobus	1	1	0	0
Pinus_sylvestris	Pinus_sylvestris	1	1	0	0
Pinus_tabuliformis	Pinus_tabuliformis	1	1	0	0
Pinus_taeda	Pinus_taeda	1	1	0	0
Pinus_thunbergii	Pinus_thunbergii	1	1	0	0
Pinus_virginiana	Pinus_virginiana	1	1	0	0
Pinus_wallichiana	Pinus_wallichiana	1	1	0	0
Piper_nigrum	Piper_nigrum	0	0	1	0
Pisonia_aculeata	Pisonia_aculeata	0	1	0	0
Pisonia_albida	Pisonia_albida	0	1	0	0
Pisonia_grandis	Pisonia_grandis	0	1	0	0
Pisonia_sandwicensis	Pisonia_sandwicensis	0	1	0	0
Pisonia_sechellarum	Pisonia_sechellarum	0	0	1	0
Pisonia_taina	Pisonia_taina	0	1	0	0
Pisum_sativum	Pisum_sativum	0	0	1	0
Plantago_afra	Plantago_afra	0	0	1	0
Plantago_asiatica	Plantago_asiatica	0	0	1	0
Plantago_lanceolata	Plantago_lanceolata	0	0	1	0
Plantago_major	Plantago_major	0	0	1	0
Platanthera_azorica	Platanthera_azorica	0	1	0	0
Platanthera_chlorantha	Platanthera_chlorantha	1	1	0	0
Platanthera_micrantha	Platanthera_micrantha	0	1	0	0
Poa_pratensis_subsp._angustifolia	Poa_pratensis	0	0	1	0
Poa_pratensis_subsp._irrigata	Poa_pratensis	0	0	1	0
Poa_pratensis_subsp._alpigena	Poa_pratensis	0	0	1	0
